Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,Text_Area,237803.7186,240028.4409,8.0,9.0,2224.722299999994
Anonymous 14-11-22 09h35m,SubFigure2,240028.4409,240978.3654,2.0,2.0,949.9245000000228
Anonymous 14-11-22 09h35m,Figure,240028.4409,240978.3654,2.0,2.0,949.9245000000228
Anonymous 14-11-22 09h35m,Text_Area,241061.6831,242069.9714,3.0,2.0,1008.2883000000147
Anonymous 14-11-22 09h35m,Paragraph4,241303.3155,242069.9714,2.0,1.0,766.6559000000125
Anonymous 14-11-22 09h35m,Figure,242069.9714,251785.4921,26.0,27.0,9715.520699999994
Anonymous 14-11-22 09h35m,SubFigure2,242153.2523,251043.907,23.0,22.0,8890.654700000014
Anonymous 14-11-22 09h35m,SubFigure3,251043.907,251193.948,1.0,1.0,150.04099999999744
Anonymous 14-11-22 09h35m,SubFigure2,251227.2177,251668.8289,2.0,1.0,441.6111999999848
Anonymous 14-11-22 09h35m,Paragraph5,251810.5443,252027.1424,1.0,1.0,216.5981000000029
Anonymous 14-11-22 09h35m,Text_Area,251810.5443,267292.1307,50.0,53.0,15481.586399999971
Anonymous 14-11-22 09h35m,Paragraph5,252160.4615,259542.9609,24.0,23.0,7382.499400000001
Anonymous 14-11-22 09h35m,Paragraph5,259617.9425,267292.1307,24.0,28.0,7674.188199999975
Anonymous 14-11-22 09h35m,SubFigure2,267517.1178,268083.6909,2.0,2.0,566.5730999999796
Anonymous 14-11-22 09h35m,Figure,267517.1178,269675.1609,9.0,17.0,2158.04310000001
Anonymous 14-11-22 09h35m,SubFigure3,268108.6698,269425.1924,6.0,11.0,1316.5226000000257
Anonymous 14-11-22 09h35m,SubFigure3,269591.85,269675.1609,1.0,0.0,83.31090000004042
Anonymous 14-11-22 09h35m,SubFigure3,269700.216,270766.7312,5.0,5.0,1066.5151999999653
Anonymous 14-11-22 09h35m,Figure,269700.216,271683.2749,8.0,7.0,1983.0589000000036
Anonymous 14-11-22 09h35m,SubFigure2,270766.7312,271683.2749,3.0,2.0,916.5437000000384
Anonymous 14-11-22 09h35m,Text_Area,271683.2749,273616.4309,6.0,14.0,1933.155999999959
Anonymous 14-11-22 09h35m,Paragraph5,271799.9427,272249.8945,1.0,3.0,449.9517999999807
Anonymous 14-11-22 09h35m,Paragraph5,272291.614,273616.4309,5.0,8.0,1324.8168999999762
Anonymous 14-11-22 09h35m,SubFigure2,273683.0513,275249.5678,3.0,3.0,1566.516500000027
Anonymous 14-11-22 09h35m,Figure,273683.0513,275249.5678,3.0,3.0,1566.516500000027
Anonymous 14-11-22 09h35m,Text_Area,275257.8795,275541.182,1.0,1.0,283.3024999999907
Anonymous 14-11-22 09h35m,Figure,275541.182,290931.1462,35.0,47.0,15389.964200000046
Anonymous 14-11-22 09h35m,SubFigure2,275641.1824,275774.4889,1.0,1.0,133.30650000000605
Anonymous 14-11-22 09h35m,SubFigure1,275824.5427,276199.4817,2.0,2.0,374.93900000001304
Anonymous 14-11-22 09h35m,SubFigure2,276199.4817,289073.0507,24.0,30.0,12873.569000000018
Anonymous 14-11-22 09h35m,SubFigure2,289131.3671,290839.5523,8.0,9.0,1708.1852000000072
Anonymous 14-11-22 09h35m,Paragraph5,290947.8608,292664.2987,6.0,9.0,1716.4378999999608
Anonymous 14-11-22 09h35m,Text_Area,290947.8608,292664.2987,6.0,9.0,1716.4378999999608
Anonymous 14-11-22 09h35m,Figure,292664.2987,296555.5589,7.0,8.0,3891.260200000019
Anonymous 14-11-22 09h35m,SubFigure2,292755.9596,296555.5589,7.0,7.0,3799.5993000000017
Anonymous 14-11-22 09h35m,Text_Area,296555.5589,298305.3308,7.0,11.0,1749.7718999999925
Anonymous 14-11-22 09h35m,Paragraph5,296722.1956,297197.1334,2.0,6.0,474.93780000001425
Anonymous 14-11-22 09h35m,Paragraph5,297213.8534,298305.3308,5.0,3.0,1091.4773999999743
Anonymous 14-11-22 09h35m,Figure,298305.3308,299313.5904,1.0,3.0,1008.2595999999903
Anonymous 14-11-22 09h35m,SubFigure2,298405.3766,299288.6079,1.0,1.0,883.2312999999849
Anonymous 14-11-22 09h35m,SubFigure1,299296.9426,299313.5904,0.0,1.0,16.647799999976996
Anonymous 14-11-22 09h35m,Paragraph5,299396.9066,300113.5147,3.0,4.0,716.6081000000122
Anonymous 14-11-22 09h35m,Text_Area,299396.9066,300113.5147,3.0,4.0,716.6081000000122
Anonymous 14-11-22 09h35m,SubFigure2,300238.4576,302571.5419,5.0,13.0,2333.0842999999877
Anonymous 14-11-22 09h35m,Figure,300238.4576,302571.5419,5.0,13.0,2333.0842999999877
Anonymous 14-11-22 09h35m,Text_Area,302629.8665,308020.9274,18.0,23.0,5391.060899999982
Anonymous 14-11-22 09h35m,Paragraph5,302754.8868,304046.3637,5.0,5.0,1291.4769000000088
Anonymous 14-11-22 09h35m,Paragraph5,304071.361,308020.9274,13.0,16.0,3949.5664000000106
Anonymous 14-11-22 09h35m,SubFigure2,308137.592,308562.5641,2.0,4.0,424.9721000000136
Anonymous 14-11-22 09h35m,Figure,308137.592,308562.5641,2.0,4.0,424.9721000000136
Anonymous 14-11-22 09h35m,Text_Area,308570.8627,309762.4074,3.0,6.0,1191.5447000000277
Anonymous 14-11-22 09h35m,Paragraph5,308695.8489,309604.1123,3.0,4.0,908.2633999999962
Anonymous 14-11-22 09h35m,SubFigure2,309787.4217,311378.8854,3.0,17.0,1591.463700000022
Anonymous 14-11-22 09h35m,Figure,309787.4217,317244.9056,22.0,51.0,7457.483899999992
Anonymous 14-11-22 09h35m,SubFigure1,311387.2184,311395.5513,0.0,1.0,8.332899999979418
Anonymous 14-11-22 09h35m,SubFigure2,311437.2457,311803.864,2.0,2.0,366.6182999999728
Anonymous 14-11-22 09h35m,SubFigure1,311812.1841,311820.5162,0.0,1.0,8.332099999999627
Anonymous 14-11-22 09h35m,SubFigure2,311837.1922,313437.0246,6.0,14.0,1599.8324000000139
Anonymous 14-11-22 09h35m,SubFigure3,313445.357,313736.9668,1.0,2.0,291.60979999997653
Anonymous 14-11-22 09h35m,SubFigure2,313736.9668,317244.9056,10.0,13.0,3507.9388000000035
Anonymous 14-11-22 09h35m,Text_Area,317244.9056,319986.2672,9.0,12.0,2741.361600000004
Anonymous 14-11-22 09h35m,Paragraph5,317369.896,319986.2672,9.0,11.0,2616.371199999994
Anonymous 14-11-22 09h35m,SubFigure2,320161.2621,320469.5789,1.0,3.0,308.3168000000296
Anonymous 14-11-22 09h35m,Figure,320161.2621,320469.5789,1.0,3.0,308.3168000000296
Anonymous 14-11-22 09h35m,Text_Area,320511.2394,322286.0212,6.0,9.0,1774.781799999997
Anonymous 14-11-22 09h35m,Paragraph5,320611.2386,322286.0212,6.0,8.0,1674.782600000035
Anonymous 14-11-22 09h35m,SubFigure2,322419.3595,328223.1337,16.0,19.0,5803.774199999985
Anonymous 14-11-22 09h35m,Figure,322419.3595,353686.9305,92.0,161.0,31267.570999999996
Anonymous 14-11-22 09h35m,SubFigure1,328364.7791,328631.3636,1.0,2.0,266.5844999999972
Anonymous 14-11-22 09h35m,SubFigure2,328714.6864,329281.3126,2.0,3.0,566.6261999999988
Anonymous 14-11-22 09h35m,SubFigure1,329281.3126,330097.9168,4.0,3.0,816.6042000000016
Anonymous 14-11-22 09h35m,SubFigure2,330097.9168,333730.8285,12.0,21.0,3632.911699999997
Anonymous 14-11-22 09h35m,SubFigure2,333764.158,337488.776,12.0,27.0,3724.6180000000168
Anonymous 14-11-22 09h35m,SubFigure2,337522.0711,351095.5754,38.0,59.0,13573.504299999971
Anonymous 14-11-22 09h35m,SubFigure2,351170.5453,352170.4491,3.0,6.0,999.9038000000292
Anonymous 14-11-22 09h35m,SubFigure3,352312.115,352328.8104,0.0,1.0,16.695400000025984
Anonymous 14-11-22 09h35m,SubFigure2,352337.1177,352528.7392,1.0,2.0,191.62150000000838
